"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53627","setupTeamCityServerTest","Surefire suite","2026-08-16","passed","2026-08-16","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","59977","User should be able to create project","Surefire suite","2026-08-16","failed","2026-08-16","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest"
"","13005","User should be able to create build type","Surefire suite","2026-08-16","passed","2026-08-16","com.example.teamcity.ui.CreateBuildTypeTest","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest"
"","2","User should not be able to create project without name","Surefire suite","2026-08-16","passed","2026-08-16","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest"
"","12866","User should not be able to create build type without name","Surefire suite","2026-08-16","passed","2026-08-16","com.example.teamcity.ui.CreateBuildTypeTest","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameTest"
