"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15639","User should be able to create build type","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.CreateBuildTypeTest","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest"
"","0","User should not be able to create project without name","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutNameTest"
"","12654","User should not be able to create build type without name","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.CreateBuildTypeTest","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutNameTest"
"","51949","setupTeamCityServerTest","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","58239","User should be able to create project","Surefire suite","2026-08-17","passed","2026-08-17","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectTest"
